Participant Private ID,IIU,IU,PIU,Overall impulsiveness,Overall_anxiety
11371805,16,49,20,65,15
11371837,23,86,35,58,18
11371842,16,52,23,39,12
11371844,12,41,17,55,13
11371872,13,39,17,57,16
11375529,10,45,24,56,14
11375531,15,50,21,55,17
11375532,13,39,17,59,16
11375533,13,53,22,59,14
11375534,15,51,23,66,14
11375537,15,56,23,44,18
11375545,10,52,28,47,14
11375583,27,77,28,51,25
11375644,13,65,30,64,12
11375648,27,84,34,40,24
11375672,19,76,34,64,20
11375676,11,39,18,57,11
11375685,12,55,25,60,16
11375695,16,51,19,53,15
11375696,35,96,40,56,17
11375721,22,78,33,51,15
11375783,23,73,27,55,16
11375785,27,77,24,56,17
11375787,28,82,29,58,13
11375815,39,110,39,58,31
11375840,40,119,40,48,27
11375846,30,76,27,62,27
11375853,29,88,36,62,21
11375889,9,36,18,63,14
11375902,33,102,38,62,15
11375907,23,81,33,56,23
11375929,20,75,29,47,22
11375935,16,60,24,64,15
11375966,13,45,19,66,21
11376000,13,46,20,59,13
11376005,22,63,24,59,20
11376009,31,94,30,41,12
11376027,22,77,32,55,14
11376033,24,69,22,58,19
11376071,19,60,24,60,17
11376158,14,45,21,62,14
11376160,15,51,22,59,18
11376164,13,56,28,66,13
11376173,9,44,20,58,13
11376225,18,56,22,67,19
11376230,26,97,41,48,17
11376296,14,61,23,59,13
11376326,16,67,26,59,12
11376357,21,77,33,54,22
11376359,9,31,12,62,12
11376370,20,69,28,59,17
11376375,19,66,26,55,13
11376459,33,120,44,55,39
11376488,9,41,21,64,11
11376521,9,36,17,66,13
11376563,15,44,15,52,11
11376583,12,35,13,68,12
11376629,14,57,23,63,19
11376635,30,98,36,53,20
11376647,19,88,34,54,15
11376666,16,61,28,56,12
11376667,14,60,23,63,13
11376681,12,41,20,58,18
11376715,14,54,23,63,16
11376760,9,36,12,63,11
11376807,21,79,34,33,24
11376830,9,35,17,59,11
11376853,20,63,22,56,17
11376877,16,58,23,65,17
11376894,13,56,25,65,18
11376903,29,82,23,50,13
11376914,26,81,27,56,22
11376932,14,49,21,62,13
11376994,14,48,20,51,16
11377038,15,47,18,48,15
11377058,9,34,16,58,11
11377060,9,36,15,55,11
11377065,13,48,21,58,12
11377146,11,37,16,49,11
11377190,15,56,25,61,11
11377249,15,76,38,60,20
11377283,15,50,19,65,14
11377297,10,37,15,51,11
11377307,19,68,30,56,11
11377326,34,103,35,59,28
11377344,11,43,20,55,11
11377380,15,55,25,65,18
11377442,13,66,34,58,15
11377451,12,43,19,56,11
11377455,20,69,25,42,15
11377470,10,35,16,61,11
11377487,9,39,19,65,11
11377511,23,65,21,48,24
11377560,10,46,21,46,11
11377565,26,82,29,51,24
11377630,17,57,22,51,16
11377647,25,76,33,69,13
11377669,23,70,28,57,11
11377691,10,35,15,61,14
11377722,30,91,33,56,25
11377743,22,72,30,54,13
11377775,18,72,29,62,11
11377895,35,107,39,59,12
11379574,19,65,25,68,13
11379578,21,75,37,62,25
11398328,28,77,26,52,11
11398329,21,63,21,49,18
11398331,10,38,19,58,11
11398332,15,53,23,57,16
11398333,12,46,22,50,12
11398334,19,52,18,59,16
11398335,9,39,21,66,12
11398341,21,69,27,57,18
11398344,13,50,25,66,11
11398394,21,79,33,53,15
11398403,13,38,12,58,14
11398605,29,86,33,62,22
11398618,14,51,23,70,14
11398625,24,76,30,62,13
11398741,21,75,33,68,27
